Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1165.914401179831,-1.555016197858796,-55.81229497859695,-28.08834824571608
1258.925411794168,-1.710479265048024,-56.09688916907764,-34.68532054082088
1359.356390878526,-1.866020579851855,-55.49648525138351,-40.51560891651667
1467.799267622069,-2.027869795462304,-54.11428666609298,-31.47009739632733
1584.893192461114,-2.194671432379424,-53.61221040004571,-54.8561210322149
1711.328304161779,-2.369656949738613,-53.42220978736972,-65.45055138771029
1847.849797422291,-2.560112843220442,-53.90021843458208,-58.22032947640496
1995.262314968881,-2.747483398429527,-52.20604511788245,-68.3824611657827
2154.434690031882,-2.927291079682227,-51.88439222482366,-81.74308010887296
2326.305067153626,-3.109513345657839,-50.18296833179785,-82.57508751582324
2511.886431509582,-3.278244229130905,-50.97871801125785,-103.2090720951992
2712.272579332027,-3.438163587359937,-51.72791665967799,-100.9193901560491
2928.644564625237,-3.584987097353003,-50.23140271749921,-121.0295444798986
3162.277660168378,-3.730191759007052,-50.42859864456587,-140.9622039869925
3414.5488738336,-3.858914181902859,-49.90667523538438,-153.0929258132826
3686.945064519577,-3.983541131272359,-49.82679983263439,-155.8012304628964
3981.071705534971,-4.092823679558077,-50.81768695110468,-175.7495488066432
4298.662347082276,-4.194675437037269,-49.85803001714583,178.3398247097355
4641.588833612777,-4.300578945658523,-49.56067239432337,161.4665471290688
5011.872336272722,-4.389976258457292,-50.7484926599946,146.1207231436834
5411.695265464637,-4.482955446155365,-50.42797974059252,140.6498750521922
5843.414133735176,-4.558250721751013,-51.68472290067527,120.2164806770704
6309.573444801933,-4.639201303806217,-51.64182581851654,105.2846223516836
6812.920690579615,-4.711713150493499,-49.3258618891812,100.4730284982477
7356.422544596414,-4.772783735456193,-50.27012090118991,90.18423551988444
7943.282347242818,-4.841251052195823,-53.20367083360968,83.33518801355856
8576.958985908937,-4.896451185682552,-52.02914424615092,80.89787039257264
9261.187281287937,-4.959871734334372,-50.82937123893488,76.47678765423194
10000.00000000001,-5.016232691349699,-52.05903568883329,79.59607228256499
10797.75162327709,-5.065694008145614,-50.58167884205561,76.92629327686961
11659.14401179832,-5.114945337942536,-50.83172196229184,63.5369788110083
12589.25411794166,-5.193770243228687,-52.3003217930229,40.17109438520347
13593.56390878526,-5.216697620163408,-53.81340358884992,68.72590018586436
14677.9926762207,-5.272218419261842,-53.5338351216605,44.58989920249152
15848.93192461113,-5.323188347449434,-54.68656093527572,32.32665768520275
17113.28304161781,-5.365015252098439,-50.91348508046092,49.06440406427832
18478.49797422292,-5.421702173831246,-53.83895845390676,72.52946940192447
19952.62314968879,-5.463286190759168,-57.84345900850511,15.03904548892584
21544.34690031884,-5.518982103058852,-52.69747205050022,26.89581597094622
23263.05067153625,-5.570776459915626,-50.42380022740029,50.26549375862419
25118.8643150958,-5.642019557822109,-48.84376762120479,46.39489783536438
27122.7257933203,-5.684730147505659,-53.03639762064969,29.97839490031856
29286.44564625236,-5.723719799896872,-48.40719570228571,75.29744183625598
31622.7766016838,-5.784727329356966,-51.91627028145479,70.38621486583321
34145.488738336,-5.84441781000754,-51.10262598473324,68.92950947453474
36869.45064519575,-5.899638582842837,-49.48441227663461,73.99314410247524
39810.71705534974,-5.981697832131347,-49.22477625292233,87.67473313179281
42986.62347082276,-6.002575465801626,-48.46266159547818,89.30279845629788
46415.8883361278,-6.085302258621849,-46.8800392005912,108.089843087932
50118.7233627272,-6.139227896661406,-46.92938989068772,101.7868631202883
54116.95265464637,-6.216193744336328,-44.47227737976868,82.06438051360608
58434.14133735179,-6.241284495250415,-44.38083063090151,119.7445889313741
63095.73444801931,-6.333294898224764,-41.57089887317765,110.7225170411216
